Wormbase.ID,Sequence.ID,Category.1,Category.2,Category.3,Automated.Description
WBGene00016860,C50H11.15,Stress response,Stress response: detoxification,Stress response: detoxification: CYP,"cyp-33C9 is an ortholog of human CYP2J2 (cytochrome P450 family 2 subfamily J member 2), CYP2R1 (cytochrome P450 family 2 subfamily R member 1), and CYP2U1 (cytochrome P450 family 2 subfamily U member 1)\; is predicted to have heme binding activity, iron ion binding activity, and oxidoreductase activity\; human orthologs of this gene are implicated in hereditary spastic paraplegia 56, lung cancer, and rickets."
WBGene00022867,ZK1240.2,Unassigned,Unassigned,Unassigned,ZK1240.2 is an ortholog of human TRIM13 (tripartite motif containing 13) and TRIM59 (tripartite motif containing 59)\; is predicted to have zinc ion binding activity.
WBGene00017703,F22E5.1,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"F22E5.1 is enriched in dopaminergic neurons, the OLL, the PVD, and the intestine based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-2, skn-1, and hsf-1 based on microarray and RNA-seq studies\; is affected by nine chemicals including Tunicamycin, sodium arsenite, and D-glucose based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domain: Protein of unknown function DUF1647."
WBGene00017962,F31F4.15,Proteolysis proteasome,Proteolysis proteasome: E3,Proteolysis proteasome: E3: F box,"fbxa-72 is enriched in several tissues, including the Z1.p, the Z4.a, the hypodermis, the male distal tip cell, and the somatic gonad precursor based on tiling array, RNA-seq, proteomic, and microarray studies\; is affected by several genes including daf-2, daf-12, and eat-2 based on microarray and RNA-seq studies\; is affected by eleven chemicals including Tunicamycin, sodium arsenite, and indole based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domain: Domain of unknown function DUF38, Caenorhabditis species."
WBGene00020886,T28B4.3,Transmembrane transport,Transmembrane transport: unassigned,Transmembrane transport: unassigned,ttr-6 localizes to the nucleus.
WBGene00018682,F52D1.1,Metabolism,Metabolism: carbohydrate,Metabolism: carbohydrate,"aagr-4 is an ortholog of human GANAB (glucosidase II alpha subunit) and GANC (glucosidase alpha, neutral C)\; is predicted to have carbohydrate binding activity and hydrolase activity, hydrolyzing O-glycosyl compounds."
WBGene00006649,F08F1.8,Cytoskeleton,Cytoskeleton: unassigned,Cytoskeleton: unassigned,"tth-1 is predicted to have actin monomer binding activity\; is expressed in several tissues, including the alimentary system, the nervous system, and the reproductive system."
WBGene00007810,C29F7.1,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"C29F7.1 is enriched in dopaminergic neurons, the ASER, and the intestine based on tiling array and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray and RNA-seq studies\; is affected by fifteen chemicals including tryptophan, indole, and 4-bromodiphenyl ether based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domains: Protein kinase-like domain superfamily, Uncharacterised  oxidoreductase Dhs-27, and CHK kinase-like."
WBGene00008388,D1086.1,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"D1086.1 is enriched in the ALM, the PLM, and the muscle cell based on microarray studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray, tiling array, and RNA-seq studies\; is affected by seven chemicals including hydrogen sulfide, tryptophan, and Rotenone based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domains: Domain of unknown function DUF19 and Uncharacterised protein family UPF0376."
WBGene00008486,F01D4.2,Stress response,Stress response: detoxification,Stress response: detoxification: ugt,"ugt-44 is an ortholog of human UGT3A1 (UDP glycosyltransferase family 3 member A1) and UGT3A2 (UDP glycosyltransferase family 3 member A2)\; is predicted to have transferase activity, transferring hexosyl groups\; is involved in innate immune response."
WBGene00008995,F21A3.5,Signaling,Signaling: casein kinase,Signaling: casein kinase,"prde-1 is an ortholog of human CSNK1E\; is involved in piRNA biosynthetic process\; localizes to the autosome\; is expressed in germ cells, the PLML, and the PLMR."
WBGene00010086,F55B11.4,Unassigned,Unassigned,Unassigned,F55B11.4 is expressed in the tail.
WBGene00010084,F55B11.2,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F55B11.2 is enriched in the germ line based on RNA-seq studies\; is affected by several genes including daf-2, let-7, and gld-1 based on microarray, proteomic, and RNA-seq studies\; is affected by fifteen chemicals including Ethanol, 1-methylnicotinamide, and Rotenone based on RNA-seq and microarray studies."
WBGene00010083,F55B11.1,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,"xdh-1 is an ortholog of human XDH\; is predicted to have several functions, including 2 iron, 2 sulfur cluster binding activity, flavin adenine dinucleotide binding activity, and oxidoreductase activity\; human orthologs of this gene are implicated in xanthinuria."
WBGene00011339,T01G5.1,Signaling,Signaling: Y kinase,Signaling: Y kinase,"T01G5.1 is an ortholog of human RP11-231C18.3, KDR, and FLT4\; is predicted to have protein kinase activity."
WBGene00011668,T09F5.9,Stress response,Stress response: C-type Lectin,Stress response: C-type Lectin,"clec-47 is an ortholog of human CLEC4A, CLEC4C, and CD209 and members of the human CLEC (C-type lectin domain containing) gene family including CLEC6A and CLEC4E\; is predicted to have carbohydrate binding activity\; is involved in response to gamma radiation."
WBGene00012127,T28D6.7,Metabolism,Metabolism: lipid,Metabolism: lipid: phospholipid,T28D6.7 is an ortholog of human STARD10\; is predicted to have lipid binding activity\; is expressed in the nervous system.
WBGene00012123,T28D6.3,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"T28D6.3 is enriched in the hypodermis and the intestine based on tiling array and microarray studies\; is affected by several genes including daf-2, glp-1, and daf-12 based on microarray, RNA-seq, proteomic, and tiling array studies\; is affected by fourteen chemicals including methylmercuric chloride, Mercuric Chloride, and Rotenone based on microarray and RNA-seq studies."
WBGene00013297,Y57G11B.5,Unassigned,Unassigned,Unassigned,"Y57G11B.5 is enriched in dopaminergic neurons, the cephalic sheath cell, and the hypodermis based on tiling array and RNA-seq studies\; is affected by several genes including daf-2, let-7, and gld-1 based on microarray, RNA-seq, proteomic, and tiling array studies\; is affected by fifteen chemicals including Ethanol, 1-methylnicotinamide, and nicotinic acid based on RNA-seq and microarray studies."
WBGene00009221,F28F8.2,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,"acs-2 is an ortholog of human ACSF2 (acyl-CoA synthetase 2)\; is predicted to have catalytic activity\; is involved in fatty acid metabolic process\; localizes to the mitochondrion\; is expressed in the alimentary system, the digestive tract, the hypodermis, the muscular system, and the nervous system."
WBGene00011431,T04D3.1,Unassigned,Unassigned,Unassigned,T04D3.1 localizes to the cytoplasm.
WBGene00016638,C44B12.5,Development,Development: general,Development: general,"perm-4 is enriched in the body wall muscle cell, the cephalic sheath cell, the germ line, and the pharyngeal muscle cell based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray, tiling array, proteomic, and RNA-seq studies\; is affected by thirteen chemicals including Ethanol, Rotenone, and manganese chloride based on RNA-seq and microarray studies."
WBGene00016636,C44B12.1,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"perm-2 is enriched in the amphid sheath cell and the germ line based on proteomic and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray, tiling array, proteomic, and RNA-seq studies\; is affected by fifteen chemicals including Heme, Ethanol, and Rotenone based on microarray, RNA-seq, and proteomic studies."
WBGene00016758,C49A9.4,Proteolysis general,Proteolysis general: cysteine,Proteolysis general: cysteine: unassigned,"C49A9.4 is enriched in the OLL, the PVD, and the intestine based on microarray and RNA-seq studies\; is affected by several genes including elt-2, pgl-1, and isp-1 based on microarray and RNA-seq studies\; is affected by six chemicals including Alovudine, stavudine, and Zidovudine based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Protein of unknown function DUF272."
WBGene00015097,B0273.1,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"B0273.1 is enriched in the germ line, the male, and the muscle cell based on proteomic, tiling array, RNA-seq, and microarray studies\; is affected by several genes including glp-1, age-1, and dpy-10 based on microarray, tiling array, and RNA-seq studies\; is affected by seven chemicals including methylmercuric chloride, manganese chloride, and D-glucose based on microarray and RNA-seq studies."
WBGene00022610,ZC416.6,Metabolism,Metabolism: lipid,Metabolism: lipid: unassigned,"ltah-1.2 is an ortholog of human LTA4H (leukotriene A4 hydrolase)\; is predicted to have metallopeptidase activity and zinc ion binding activity\; is involved in negative regulation of fatty acid transport, regulation of lipid storage, and regulation of peptide transport\; is expressed in the intestine."
WBGene00015330,C02B10.5,Development,Development: somatic,Development: somatic,C02B10.5 is an ortholog of human PYGO1 (pygopus family PHD finger 1) and PYGO2 (pygopus family PHD finger 2)\; human PYGO1 exhibits methylated histone binding activity.
WBGene00017417,F13B6.2,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F13B6.2 is enriched in the intestine based on tiling array and RNA-seq studies\; is affected by several genes including daf-2, skn-1, and daf-12 based on microarray and RNA-seq studies\; is affected by six chemicals including D-glucose, Atrazine, and Cry5B based on RNA-seq and microarray studies."
WBGene00020353,T08B6.4,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"T08B6.4 is enriched in the germ line, the hypodermis, and the male based on proteomic and RNA-seq studies\; is affected by several genes including daf-2, glp-1, and age-1 based on proteomic, microarray, RNA-seq, and tiling array studies\; is affected by seventeen chemicals including Ethanol, methylmercury hydroxide, and nicotinic acid based on RNA-seq and microarray studies."
WBGene00019432,K06A5.4,Cell cycle,Cell cycle: unassigned,Cell cycle: unassigned,knl-2 is an ortholog of human MIS18BP1 (MIS18 binding protein 1)\; localizes to the condensed nuclear chromosome kinetochore.
WBGene00000386,K06A5.7,Cell cycle,Cell cycle: phosphatase,Cell cycle: phosphatase,"cdc-25.1 encodes a CDC25 phosphatase homolog that affects embryonic viability, meiosis, mitosis, proliferation of the intestine (E cell lineage), and germ line proliferation; it is expressed in the developing germline, in the nuclei of oocytes, embryonic nuclei, nuclei of embryonic cortical membranes, and sperm pronuclei, and in the germline precursors Z2 and Z3."
WBGene00020989,W03D8.8,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,"W03D8.8 is an ortholog of human ACOT1 (acyl-CoA thioesterase 1), ACOT4 (acyl-CoA thioesterase 4), and BAAT\; is predicted to have thiolester hydrolase activity."
WBGene00019068,F58H7.2,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,faah-3 is an ortholog of human FAAH\; is predicted to have amidase activity.
WBGene00019021,F57H12.6,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F57H12.6 is enriched in the OLL, the PVD, the hypodermis, the intestine, and the male based on microarray and tiling array studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on proteomic, microarray, RNA-seq, and tiling array studies\; is affected by twenty chemicals including Nitric Oxide, methylmercury hydroxide, and 1-methylnicotinamide based on RNA-seq and microarray studies."
WBGene00015469,C05D2.8,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"C05D2.8 is enriched in the OLL, the PVD, the intestine, and the pharyngeal muscle cell based on SAGE, microarray, tiling array, RNA-seq, and proteomic studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray, tiling array, and RNA-seq studies\; is affected by eight chemicals including resveratrol, Cry5B, and Quercetin based on microarray studies."
WBGene00018138,F37B4.7,Transmembrane transport,Transmembrane transport: unassigned,Transmembrane transport: unassigned,"folt-2 is an ortholog of human SLC19A1 (solute carrier family 19 member 1), SLC19A2 (solute carrier family 19 member 2), and SLC19A3 (solute carrier family 19 member 3)\; is predicted to have folic acid binding activity and vitamin transmembrane transporter activity\; human orthologs of this gene are implicated in biotin-responsive basal ganglia disease and thiamine-responsive megaloblastic anemia syndrome."
WBGene00002026,C12C8.1,Stress response,Stress response: heat,Stress response: heat,"hsp-70 is predicted to have ATP binding activity\; is involved in determination of adult lifespan and response to heat\; colocalizes with the chaperonin-containing T-complex\; is expressed in the anal depressor muscle, the mu_int_L, and the mu_int_R."
WBGene00001633,Y66A7A.6,Trafficking,Trafficking: ER/Golgi,Trafficking: ER/Golgi: Golgi unassigned,"gly-8 is an ortholog of human GALNT11 (polypeptide N-acetylgalactosaminyltransferase 11) and GALNTL5 (polypeptide N-acetylgalactosaminyltransferase like 5)\; is predicted to have metal ion binding activity and transferase activity, transferring glycosyl groups."
WBGene00008127,C47A10.5,Metabolism,Metabolism: amino acid,Metabolism: amino acid: breakdown,"ddo-1 is an ortholog of human DDO and dao\; exhibits D-aspartate oxidase activity, D-glutamate oxidase activity, and cofactor binding activity\; is involved in oxidation-reduction process\; is expressed in the hypodermis and the intestinal cell."
WBGene00009031,F21H7.5,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F21H7.5 is enriched in the amphid sheath cell, the germ line, the hypodermis, the male, and the muscle cell based on proteomic, RNA-seq, and microarray studies\; is affected by several genes including daf-2, age-1, and let-7 based on microarray, RNA-seq, tiling array, and proteomic studies\; is affected by fourteen chemicals including Ethanol, nicotinic acid, and methylmercuric chloride based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domains: Major sperm protein (MSP) domain, PapD-like superfamily, and Immunoglobulin-like fold."
WBGene00009048,F22B8.6,Metabolism,Metabolism: 1CC,Metabolism: 1CC: transsulfuration,cth-1 is an ortholog of human CTH\; is predicted to have lyase activity and pyridoxal phosphate binding activity\; human orthologs of this gene are implicated in cystathioninuria.
WBGene00009291,F31D4.4,Stress response,Stress response: C-type Lectin,Stress response: C-type Lectin,clec-264 is predicted to have carbohydrate binding activity\; is involved in defense response to Gram-positive bacterium.
WBGene00009393,F35C5.5,Stress response,Stress response: C-type Lectin,Stress response: C-type Lectin,clec-62 is predicted to have carbohydrate binding activity\; is involved in innate immune response.
WBGene00009396,F35C5.8,Stress response,Stress response: C-type Lectin,Stress response: C-type Lectin,clec-65 is predicted to have carbohydrate binding activity\; is expressed in the intestine.
WBGene00009394,F35C5.6,Stress response,Stress response: C-type Lectin,Stress response: C-type Lectin,clec-63 is predicted to have carbohydrate binding activity\; is expressed in the germ line and the intestine.
WBGene00009397,F35C5.9,Stress response,Stress response: C-type Lectin,Stress response: C-type Lectin,clec-66 is predicted to have carbohydrate binding activity\; is involved in innate immune response\; is expressed in the intestine.
WBGene00001786,F35E8.8,Stress response,Stress response: detoxification,Stress response: detoxification: GST,"gst-38 is an ortholog of human GSTA4 (glutathione S-transferase alpha 4), GSTA5 (glutathione S-transferase alpha 5), and HPGDS (hematopoietic prostaglandin D synthase)\; is predicted to have transferase activity\; is involved in innate immune response\; is expressed in the intestine, the nervous system, and the sensillum."
WBGene00009488,F36G9.12,Metabolism,Metabolism: lipid,Metabolism: lipid: o-acyl transferase,"oac-20 is predicted to have transferase activity, transferring acyl groups other than amino-acyl groups."
WBGene00009706,F44G3.2,Metabolism,Metabolism: creatine kinase,Metabolism: creatine kinase,"argk-1 is an ortholog of human CKMT1B, CKB, and CKM\; is predicted to have ATP binding activity and kinase activity\; is expressed in the IL socket cell and the OL socket cell."
WBGene00009951,F53A2.3,Unassigned,Unassigned,Unassigned,"F53A2.3 is enriched in the nervous system based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including clk-1, sir-2.1, and pgl-1 based on microarray, tiling array, and RNA-seq studies\; is affected by Quercetin, paraquat, and Sirolimus based on microarray studies."
WBGene00010019,F54B8.4,Unassigned,Unassigned,Unassigned,F54B8.4 is an ortholog of human DAPL1 and dap\; is involved in innate immune response.
WBGene00010070,F54F11.2,Proteolysis general,Proteolysis general: metallopeptidase,Proteolysis general: metallopeptidase,"nep-17 is an ortholog of human ECEL1 (endothelin converting enzyme like 1), MME, and PHEX (phosphate regulating endopeptidase homolog X-linked)\; is predicted to have metalloendopeptidase activity\; localizes to the membrane raft\; is expressed in the intestine."
WBGene00010351,H02I12.1,Extracellular material,Extracellular material: PGI,Extracellular material: PGI,"cbd-1 is predicted to have chitin binding activity\; is involved in eggshell formation, positive regulation of protein localization to cell cortex, and positive regulation of protein localization to plasma membrane\; localizes to the cell periphery."
WBGene00010731,K10C3.4,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"K10C3.4 is an ortholog of human TMEM98\; is expressed in several tissues, including the alimentary system, the hypodermis, the nervous system, and the reproductive system\; human orthologs of this gene are implicated in microphthalmia\; is predicted to encode a protein with the following domain: Transmembrane protein 98."
WBGene00011733,T12D8.5,Stress response,Stress response: heavy metal,Stress response: heavy metal,"T12D8.5 is enriched in dopaminergic neurons, the OLL, the PVD, and the intestine based on microarray, tiling array, and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and let-60 based on microarray, proteomic, and RNA-seq studies\; is affected by sixteen chemicals including hydrogen sulfide, Rotenone, and Tunicamycin based on microarray and RNA-seq studies."
WBGene00014190,ZK1037.1,Transmembrane protein,Transmembrane protein: seven transmembrane receptor,Transmembrane protein: seven transmembrane receptor: unassigned,"irld-62 is affected by several genes including sir-2.1, prg-1, and unc-75 based on tiling array, RNA-seq, and microarray studies\; is affected by Acrylamide, Chlorpyrifos, and Diazinon based on microarray studies\; is predicted to encode a protein with the following domains: Receptor L-domain and Receptor L-domain superfamily."
WBGene00014199,ZK1053.4,Unassigned,Unassigned,Unassigned,ZK1053.4 localizes to the cytoplasm.
WBGene00016457,C35E7.5,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"C35E7.5 is enriched in several tissues, including GABAergic neurons, the alimentary system, the germ line, the hypodermis, and the somatic gonad precursor based on tiling array and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and dpy-10 based on microarray and RNA-seq studies\; is affected by fifteen chemicals including methylmercury hydroxide, 1-methylnicotinamide, and methylmercuric chloride based on RNA-seq and microarray studies."
WBGene00020035,R12E2.10,Signaling,Signaling: phosphatase,Signaling: phosphatase: Y ,"egg-5 is an ortholog of human PTPN7 (protein tyrosine phosphatase, non-receptor type 7)\; exhibits protein kinase binding activity\; is involved in several processes, including cortical actin cytoskeleton organization, gamete generation, and negative regulation of protein kinase activity\; localizes to the cell cortex and nucleus\; is expressed in the oocyte."
WBGene00016023,C23H5.1,Protein modification,Protein modification: methyltransferase,Protein modification: methyltransferase,"prmt-6 is an ortholog of human COQ3 (coenzyme Q3, methyltransferase)\; is predicted to have methyltransferase activity."
WBGene00019973,R09A1.3,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"R09A1.3 is enriched in the intestine based on RNA-seq studies\; is affected by several genes including daf-2, hsf-1, and clk-1 based on microarray, tiling array, and RNA-seq studies\; is affected by ten chemicals including 1-methylnicotinamide, D-glucose, and stavudine based on RNA-seq and microarray studies."
WBGene00020747,T24A6.7,Unassigned,Unassigned,Unassigned,"T24A6.7 is enriched in several tissues, including the body wall muscle cell and the nervous system based on tiling array and RNA-seq studies\; is affected by several genes including daf-12, lin-35, and npr-1 based on proteomic, microarray, tiling array, and RNA-seq studies\; is affected by five chemicals including methylmercuric chloride, procyanidin, and Sodium Chloride based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domains: NADAR and YbiA-like superfamily."
WBGene00007724,C25F9.4,Unassigned,Unassigned,Unassigned,C25F9.4 is predicted to have ATP binding activity.
WBGene00008354,D1025.2,Metabolism,Metabolism: amino acid,Metabolism: amino acid: breakdown,"gcsh-1 is an ortholog of human GCSH\; human orthologs of this gene are implicated in glycine encephalopathy\; is predicted to encode a protein with the following domains: Single hybrid motif, Glycine cleavage system H-protein, subgroup, and Glycine cleavage system H-protein\/Simiate."
WBGene00008565,F08A8.2,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,"acox-1.2 is an ortholog of human ACOX1\; is predicted to have ATP binding activity, FAD binding activity, and acyl-CoA oxidase activity\; is involved in ascaroside biosynthetic process\; is expressed in the intestine\; human orthologs of this gene are implicated in peroxisomal acyl-CoA oxidase deficiency."
WBGene00008681,F11A6.2,Metabolism,Metabolism: lipid,Metabolism: lipid: phospholipid,"scrm-4 is an ortholog of human PLSCR5 (phospholipid scramblase 5), PLSCR4 (phospholipid scramblase 4), and PLSCR1 (phospholipid scramblase 1)\; human PLSCR1 exhibits several functions, including SH3 domain binding activity, calcium ion binding activity, and signaling receptor binding activity."
WBGene00009730,F45G2.2,Muscle function,Muscle function,Muscle function,"myo-6 is an ortholog of human MYH3 (myosin heavy chain 3), MYH15 (myosin heavy chain 15), and MYH7B (myosin heavy chain 7B)\; is predicted to have ATP binding activity, actin filament binding activity, and motor activity\; human orthologs of this gene are implicated in several diseases, including Carney complex, intrinsic cardiomyopathy (multiple), and muscle tissue disease (multiple)."
WBGene00010440,JC8.8,Unassigned,Unassigned,Unassigned: TransThyretin-Related family domain,ttr-51 is expressed in the spermatheca\; is predicted to encode a protein with the following domains: Transthyretin-like and Transthyretin-like superfamily.
WBGene00010822,M01G12.9,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"M01G12.9 is enriched in the coelomocyte, the intestine, the muscular system, and the nervous system based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray and RNA-seq studies\; is affected by eleven chemicals including methylmercuric chloride, Rotenone, and D-glucopyranose based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domain: RAI1-like family."
WBGene00011120,R07E5.15,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"R07E5.15 is enriched in the germ line and the male based on proteomic and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and age-1 based on microarray and RNA-seq studies\; is affected by sixteen chemicals including Ethanol, methylmercuric chloride, and manganese chloride based on RNA-seq and microarray studies."
WBGene00012185,W01F3.2,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"W01F3.2 is an ortholog of human MMP24 (matrix metallopeptidase 24), MMP13, and MMP23B\; human MMP13 exhibits collagen binding activity, metal ion binding activity, and metalloendopeptidase activity."
WBGene00022848,ZK1055.7,Stress response,Stress response: pathogen,Stress response: pathogen: unassigned,ZK1055.7 is involved in innate immune response.
WBGene00017423,F13C5.2,Development,Development: general,Development: general,"F13C5.2 is an ortholog of human BRD3 (bromodomain containing 3), BRD4 (bromodomain containing 4), and BRDT (bromodomain testis associated)\; is expressed widely\; human BRD4 exhibits several functions, including RNA polymerase II complex binding activity, chromatin binding activity, and lysine-acetylated histone binding activity."
WBGene00019146,H02F09.3,Extracellular material,Extracellular material: matrix,Extracellular material: matrix,"H02F09.3 is affected by several genes including daf-16, daf-2, and skn-1 based on microarray, RNA-seq, and tiling array studies\; is affected by seven chemicals including hydrogen sulfide, manganese chloride, and Sodium Chloride based on microarray and RNA-seq studies."
WBGene00021965,Y57G7A.1,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"Y57G7A.1 is enriched in the amphid sheath cell, the excretory cell, and the nervous system based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-16, daf-2, and dpy-10 based on RNA-seq and microarray studies\; is affected by five chemicals including Rotenone, Mianserin, and Cry5B based on RNA-seq and microarray studies."
WBGene00020579,T19D12.4,Stress response,Stress response: pathogen,Stress response: pathogen: unassigned,T19D12.4 is involved in defense response to Gram-negative bacterium and innate immune response\; localizes to the membrane raft.
WBGene00002019,T27E4.3,Stress response,Stress response: heat,Stress response: heat,"hsp-16.48 is an ortholog of human CRYAA (crystallin alpha A), CRYAB (crystallin alpha B), and HSPB1 (heat shock protein family B (small) member 1)\; is predicted to have unfolded protein binding activity\; is involved in determination of adult lifespan and response to heat\; is expressed in several tissues, including the alimentary system, the coelomocyte, the gonad, the muscular system, and the nervous system\; human orthologs of this gene are implicated in several diseases, including Charcot-Marie-Tooth disease axonal type 2F, cataract (multiple), and myofibrillar myopathy (multiple)."
WBGene00006926,C42D8.2,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,"vit-2 is an ortholog of human CTD-3088G3.8\; is predicted to have lipid transporter activity and nutrient reservoir activity\; localizes to the cytoplasmic vesicle, vesicle lumen, and yolk granule\; is expressed in the embryonic cell, the gonad, the intestine, the oocyte, and the pseudocoelom."
WBGene00006929,C04F6.1,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,vit-5 is an ortholog of human CTD-3088G3.8\; is predicted to have lipid transporter activity and nutrient reservoir activity\; is expressed in the intestine.
WBGene00002018,Y46H3A.2,Stress response,Stress response: heat,Stress response: heat,"hsp-16.41 is an ortholog of human CRYAA (crystallin alpha A), CRYAB (crystallin alpha B), and HSPB1 (heat shock protein family B (small) member 1)\; is predicted to have unfolded protein binding activity\; is involved in defense response to Gram-negative bacterium and response to heat\; is expressed in several tissues, including the alimentary system, the coelomocyte, the gonad, the muscular system, and the nervous system\; human orthologs of this gene are implicated in several diseases, including Charcot-Marie-Tooth disease axonal type 2F, cataract (multiple), and myofibrillar myopathy (multiple)."
WBGene00002016,Y46H3A.3,Stress response,Stress response: heat,Stress response: heat,"hsp-16.2 is an ortholog of human CRYAA (crystallin alpha A), CRYAB (crystallin alpha B), and HSPB1 (heat shock protein family B (small) member 1)\; is predicted to have unfolded protein binding activity\; is involved in response to heat\; localizes to the cytoplasm\; is expressed in several tissues, including the alimentary system, the coelomocyte, the muscular system, the nervous system, and the reproductive system\; human orthologs of this gene are implicated in several diseases, including Charcot-Marie-Tooth disease axonal type 2F, cataract (multiple), and myofibrillar myopathy (multiple)."
WBGene00001898,M163.3,Transcription: chromatin,Transcription: chromatin structure,Transcription: chromatin structure: histone,"his-24 is an ortholog of human H1F0 (H1 histone 0)\; is predicted to have DNA binding activity\; localizes to the cytoplasm and nuclear chromosome, telomeric region\; is expressed in several tissues, including the alimentary system, the head, and the reproductive system."
WBGene00001853,Y73B6BL.9,Transcription: chromatin,Transcription: chromatin structure,Transcription: chromatin structure: histone,hil-2 is an ortholog of human H1F0 (H1 histone 0)\; is predicted to have DNA binding activity.
WBGene00006928,F59D8.2,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,vit-4 is an ortholog of human CTD-3088G3.8\; is predicted to have lipid transporter activity and nutrient reservoir activity.
WBGene00006627,C02F5.8,Stress response,Stress response: pathogen,Stress response: pathogen: unassigned,"tsp-1 is an ortholog of human CD151 (CD151 molecule (Raph blood group)), TSPAN11, and TSPAN12 (tetraspanin 12)\; is involved in innate immune response."
WBGene00016204,C29E4.7,Stress response,Stress response: unassigned,Stress response: unassigned,"gsto-1 is an ortholog of human GSTO1 (glutathione S-transferase omega 1) and GSTO2 (glutathione S-transferase omega 2)\; exhibits glutathione dehydrogenase (ascorbate) activity and glutathione transferase activity\; is involved in several processes, including cellular response to extracellular stimulus, oxidation-reduction process, and protein glutathionylation."
WBGene00008167,C48B4.1,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,acox-1.5 is an ortholog of human ACOX1\; is predicted to have FAD binding activity and acyl-CoA oxidase activity\; is involved in pheromone biosynthetic process\; human orthologs of this gene are implicated in peroxisomal acyl-CoA oxidase deficiency.
WBGene00003021,F44B9.6,Development,Development: somatic,Development: somatic,"lin-36 is predicted to have DNA binding activity and metal ion binding activity\; is involved in embryonic digestive tract morphogenesis\; is expressed in several tissues, including the hyp7 precursor cell, the nervous system, the reproductive system, the vulval precursor cell, and the vulval syncytia precursor."
WBGene00010035,F54C8.1,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,F54C8.1 is an ortholog of human HADH\; is predicted to have 3-hydroxyacyl-CoA dehydrogenase activity and NAD+ binding activity\; human orthologs of this gene are implicated in familial hyperinsulinemic hypoglycemia 4.
WBGene00000550,F55H2.6,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: morphology,clu-1 is an ortholog of human CLUH\; is predicted to have RNA binding activity.
